,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3257,30166032,246493,DoJo,De Pijp - Rivierenbuurt,52.35431,4.89838,Private room,45,5,23,2,0
3258,30166212,226622106,Short Stay Group,Centrum-Oost,52.37227,4.91098,Entire home/apt,182,1,13,5,319
3259,30166337,226622106,Short Stay Group,Centrum-Oost,52.37095,4.90958,Entire home/apt,203,1,19,5,241
3260,30166652,226622106,Short Stay Group,Centrum-Oost,52.371340000000004,4.90939,Entire home/apt,233,1,8,5,363
3261,30167917,226622106,Short Stay Group,Centrum-Oost,52.371,4.90942,Entire home/apt,244,1,147,5,359
3262,30169743,226622106,Short Stay Group,Centrum-Oost,52.3713,4.91089,Entire home/apt,615,1,103,5,317
3263,30177899,226533266,Laura,Zuid,52.35618,4.851459999999999,Entire home/apt,150,1,26,1,177
3264,30202932,226859324,Jacqueline,De Baarsjes - Oud-West,52.36639,4.8601,Private room,75,3,106,1,242
3265,30202960,12283567,Nadja & Aydın,Slotervaart,52.36087,4.82333,Private room,50,2,16,2,0
3266,30244717,4443833,Nova Team,De Aker - Nieuw Sloten,52.33299,4.80352,Entire home/apt,87,1,145,2,241
3267,30250279,101856083,Unsal,Centrum-Oost,52.37103,4.91205,Private room,108,2,112,1,83
3268,30261748,111736939,Amsterdam Amstel BNB,Oud-Oost,52.35585,4.9094,Private room,77,3,50,1,110
3269,30264925,85420364,Mewis,Centrum-West,52.37252,4.89583,Private room,88,1,140,2,151
3270,30265278,85420364,Mewis,Centrum-West,52.37106,4.89581,Private room,65,1,102,2,168
3271,30265387,20051404,Ward,Oostelijk Havengebied - Indische Buurt,52.364329999999995,4.9373,Entire home/apt,150,4,7,1,0
3272,30282572,224101212,Juriaan,De Baarsjes - Oud-West,52.372840000000004,4.87271,Entire home/apt,115,2,15,1,0
3273,30288757,31202094,Jasper,Centrum-West,52.37502,4.88457,Entire home/apt,250,2,13,2,0
3274,30289771,4361902,Yorick,De Baarsjes - Oud-West,52.36779,4.85723,Entire home/apt,180,2,13,1,11
3275,30316474,227640350,Sylvia,Noord-Oost,52.38324,4.96243,Private room,75,1,39,1,298
3276,30356862,23824257,Vacation Rental Connect,Centrum-West,52.37318,4.88985,Entire home/apt,267,3,21,1,340
3277,30359891,44498272,Clement,Zuid,52.356970000000004,4.85934,Entire home/apt,165,4,11,1,34
3278,30362585,42343390,Maura,Geuzenveld - Slotermeer,52.374629999999996,4.8322199999999995,Entire home/apt,150,2,7,1,4
3279,30371430,4844634,Zoe,Westerpark,52.37831,4.86941,Entire home/apt,128,3,29,1,2
3280,30374406,228056341,Amar,Centrum-Oost,52.37115,4.911630000000001,Private room,94,2,128,2,83
3281,30389816,115026554,Margo,IJburg - Zeeburgereiland,52.351009999999995,4.99379,Entire home/apt,140,2,0,2,0
3282,30393444,115026554,Margo,IJburg - Zeeburgereiland,52.35154,4.99529,Entire home/apt,130,2,2,2,0
3283,30394318,228217790,Short Stay Group,Oud-Noord,52.39475,4.9034699999999996,Entire home/apt,190,1,2,5,352
